Time,Connectivity,Reachability
181.17,0,0.64
181.33,0,0.64
181.50,0,0.64
181.67,0,0.64
181.83,0,0.64
182.00,0,0.64
182.17,0,0.64
182.33,0,0.64
182.50,0,0.64
182.67,0,0.64
182.83,0,0.64
183.00,0,0.64
183.17,0,0.64
183.33,0,0.64
183.50,0,0.64
183.67,0,0.64
183.83,0,0.64
184.00,0,0.64
184.17,0,0.64
184.33,0,0.64
184.50,0,0.64
184.67,0,0.64
184.83,0,0.64
185.00,0,0.64
185.17,0,0.64
185.33,0,0.64
185.50,0,0.64
185.67,0,0.64
185.83,0,0.64
186.00,0,0.64
186.17,0,0.64
186.33,0,0.64
186.50,0,0.64
186.67,0,0.64
186.83,0,0.64
187.00,0,0.64
187.17,0,0.64
187.33,0,0.64
187.50,0,0.64
187.67,0,0.64
187.83,0,0.49
188.00,0,0.49
188.17,0,0.49
188.33,0,0.49
188.50,0,0.49
188.67,0,0.49
188.83,0,0.49
189.00,0,0.49
189.17,0,0.49
189.33,0,0.49
189.50,0,0.49
189.67,0,0.49
189.83,0,0.49
190.00,0,0.49
190.17,0,0.49
190.33,0,0.49
190.50,0,0.49
190.67,0,0.49
190.83,0,0.49
191.00,0,0.49
191.17,0,0.49
191.33,0,0.49
191.50,0,0.49
191.67,0,0.49
191.83,0,0.49
192.00,0,0.49
192.17,0,0.49
192.33,0,0.64
192.50,0,0.64
192.67,0,0.64
192.83,0,0.64
193.00,0,0.64
193.17,0,0.64
193.33,0,0.64
193.50,0,0.64
193.67,0,0.64
193.83,0,0.64
194.00,0,0.64
194.17,0,0.64
194.33,0,0.64
194.50,0,0.64
194.67,0,0.64
194.83,0,0.64
195.00,0,0.64
195.17,0,0.64
195.33,0,0.64
195.50,0,0.64
195.67,0,0.64
195.83,0,0.64
196.00,0,0.64
196.17,0,0.64
196.33,0,0.64
196.50,0,0.64
196.67,0,0.64
196.83,0,0.64
197.00,0,0.64
197.17,0,0.64
197.33,0,0.64
197.50,0,0.64
197.67,0,0.64
197.83,0,0.64
198.00,0,0.64
198.17,0,0.64
198.33,0,0.64
198.50,0,0.64
198.67,0,0.64
198.83,0,0.64
199.00,0,0.64
199.17,0,0.64
199.33,0,0.64
199.50,0,0.64
199.67,1,1.00
199.83,1,1.00
200.00,1,1.00
